Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
1936,0,0,41,-0.12,1.0,0.485,0.783,91.727,1.0,0.0,0.0,0.0,0.731,40.593,-1.0
1936,0,1,73,-0.13,1.0,0.498,0.826,163.479,1.0,0.0,0.0,0.0,0.519,40.452,-1.0
1936,0,2,89,-0.02,1.0,0.513,0.522,339.201,1.0,0.0,0.0,0.0,0.0,40.381,-1.0
1936,1,0,86,0.02,1.0,0.49,0.565,339.325,1.0,0.0,0.0,0.0,0.0,40.396,-1.0
1936,1,1,70,-0.0,1.0,0.266,0.304,339.922,1.0,0.0,0.0,0.0,0.0,40.467,-1.0
1936,1,2,68,-0.11,1.0,0.407,0.696,248.401,1.0,0.0,0.0,0.0,0.269,40.475,-1.0
1936,2,0,57,-0.09,1.0,0.38,0.565,253.891,1.0,0.0,0.0,0.0,0.254,40.524,-1.0
1936,2,1,44,-0.14,1.0,0.551,0.913,31.845,1.0,0.0,0.0,0.0,0.907,40.583,-1.0
1936,2,2,64,-0.14,1.0,0.518,0.913,51.994,1.0,0.0,0.0,0.0,0.847,40.495,-1.0
1936,3,0,34,-0.06,1.0,0.147,0.391,249.528,1.0,0.0,0.0,0.0,0.269,40.624,-1.0
1936,3,1,21,-0.14,1.0,0.546,0.913,24.736,1.0,0.0,0.0,0.0,0.928,40.681,-1.0
1936,3,2,19,-0.14,1.0,0.546,0.913,24.331,1.0,0.0,0.0,0.0,0.929,40.692,-1.0
